Psme2,,Spef2,,,,Sash3
Rab26os,,Spem1,,,,Elf4
Rbmx2,,Spink2,,,,Rab33a
Rbp4,,Sppl2c,,,,Slc25a14
Rcan3,,Ssxb1,,,,Rbmx2
Rcor2,,Ssxb3,,,,Enox2
Rhox10,,Ssxb6,,,,Igsf1
Rhox13,,Sun5,,,,Stk26
Rock2,,Tbc1d20,,,,Magea14
Rpa2,,Tbc1d21,,,,Gpc4
Rpl36a,,Tbpl1,,,,3830403N18Rik
Rpl39,,Tcp11,,,,Vgll1
Sall4,,Tcte1,,,,Arhgef6
Scaf11,,Tekt3,,,,Rbmx
Selm,,Tekt4,,,,Fgf13
Serpine2,,Tekt5,,,,Mcf2
Sertad4,,Tmem232,,,,Cacna1f
Sh3bp1,,Tmf1,,,,Syp
Sh3glb2,,Tppp2,,,,Prickle3
Siah1b,,Tsga10,,,,Plp2
Sms,,Tssk4,,,,Magix
Snhg11,,Ttc29,,,,Gpkow
Snx12,,Ttll3,,,,Praf2
Snx16,,Txndc2,,,,Ccdc120
Sohlh1,,Txndc8,,,,Gripap1
Sox4,,Vdac2,,,,Otud5
Spin1,,Vps13a,,,,Pim2
Stra8,,Zpbp,,,,Slc35a2
Syngr1,,Zpbp2,,,,Pqbp1
Taf1,,Cmtm2b,,,,Timm17b
Taf7l,,Cmtm2a,,,,Eras
Tcf3,,Catspere1,,,,Hdac6
Tex11,,Adam2,,,,Gata1
Tex13,,Prm2,,,,Glod5
Tk1,,Tnp2,,,,Was
Tmem14c,,Catspere2,,,,Wdr13
Tsc22d3,,Prm1,,,,Rbm3
Tubb5,,Adad1,,,,Ebp
Uap1l1,,Armc12,,,,Porcn
Ubtf,,Catsper3,,,,Slc38a5
Vkorc1,,Ccdc62,,,,Ftsj1
Vma21,,Ccdc63,,,,Rpgr
Zbtb16,,Cdyl,,,,Dynlt3
Zfp292,,Cep57,,,,Magea9
Zfyve21,,Cfap157,,,,Ctag2
Zglp1,,Cfap206,,,,4930447F04Rik
Zrsr2,,Cfap43,,,,Aff2
Id4,,Cfap44,,,,F8
Dazl,,Chd5,,,,Vbp1
Bcl6b,,Cib1,,,,Fundc2
Piwil4,,Ddias,,,,Mtcp1
Scml2,,Ddx25,,,,Brcc3
Sohlh2,,Dpy19l2,,,,Rab39b
Uchl1,,Dzip1,,,,Asb12
Gfra1,,Epc1,,,,Msn
Nanos3,,Fndc3a,,,,Heph
Neurog3,,Fscn3,,,,Gpr165
Etv5,,Fxr1,,,,Pgr15l
,,Galntl5,,,,Ophn1
,,Gm1993,,,,Stard8
,,Gm2012,,,,Efnb1
,,Gm6121,,,,Awat2
,,Hook1,,,,Igbp1
,,Ica1l,,,,Magee2
,,Iqcf1,,,,Pbdc1
,,Klc3,,,,Magee1
,,Klhl10,,,,Atrx
,,Nsun2,,,,Fgf16
,,Osbp2,,,,Cox7b
,,Pcsk4,,,,Magt1
,,Pdilt,,,,Itm2a
,,Pebp1,,,,Tbx22
,,Psme4,,,,2610002M06Rik
,,Rec8,,,,Hmgn5
,,Rfx2,,,,Sh3bgrl
,,Ropn1l,,,,Tnmd
,,Slxl1,,,,Srpx2
,,Spata16,,,,Sytl4
,,Tarbp2,,,,Cstf2
,,Tnp1,,,,Nox1
,,Tsga8,,,,Xkrx
,,Tssk1,,,,Cenpi
,,Tssk2,,,,Btk
,,Tssk3,,,,Gla
,,Tssk6,,,,Serpina7
,,Ttc12,,,,Col4a6
,,Ttc21a,,,,Col4a5
,,Ttll1,,,,Acsl4
,,Tuba8,,,,Chrdl1
,,Ube2j1,,,,Pak3
,,Vdac3,,,,Dcx
,,Zmynd15,,,,Il13ra2
,,,,,,Lrch2
,,,,,,Cdkl5
,,,,,,Rs1
,,,,,,Phka2
,,,,,,Slc7a3
,,,,,,Adgrg2
,,,,,,Pdha1
,,,,,,Nlgn3
,,,,,,Map3k15
,,,,,,Il2rg
,,,,,,Rps6ka3
,,,,,,Zmym3
,,,,,,Nono
,,,,,,Itgb1bp2
,,,,,,Taf1
,,,,,,Rps4x
,,,,,,Dmrtc1a
,,,,,,Chic1
,,,,,,Flna
,,,,,,Tsx
,,,,,,Zcchc13
,,,,,,Abcb7
,,,,,,Mtm1
,,,,,,Gabre
,,,,,,Gpm6b
,,,,,,Gabra3
,,,,,,Gabrq
,,,,,,Cetn2
,,,,,,Nsdhl
,,,,,,Zfp185
,,,,,,Hccs
,,,,,,Rbbp7
,,,,,,Arhgap6
