Gene Name,KO1,WT1,KO3,WT3
Adh1,25.327101,1.280986,45.751904,6.834255
Adh5,96.748199,5.40505,132.916229,16.831205
Adi1,18.213039,0.624139,28.333244,2.987702
Adipor1,87.003029,28.23391,140.789215,33.54501
Adipor2,43.593365,6.010286,79.763329,12.247774
Adk,55.197128,9.813313,62.576473,11.855546
Adora1,31.924807,1.613795,86.245506,5.980779
Adpgk,20.826269,3.59395,39.85685,4.506488
Adra2a,1.444538,0.010158,1.388826,0.152681
Aen,26.651695,4.042872,46.067623,9.705168
Aff1,5.369962,0.306241,13.380864,1.347515
Aff3,2.92275,0.52163,5.218029,0.533128
Agap1,5.233559,1.378156,10.184338,2.13145
Agap3,62.780586,20.063606,75.03746,28.168743
Agbl3,32.38422,30.497215,39.487171,46.407944
Agfg2,40.635616,2.407341,76.830017,3.698435
Agl,11.485073,4.105454,23.007284,6.614699
Ago1,6.757199,1.811747,16.354452,2.898727
Agpat4,56.029949,1.527859,90.943581,4.04043
Agpat5,8.293321,0.54771,9.053976,1.054854
Agps,20.471348,1.216436,22.983149,1.659494
Agrn,20.647671,0.670683,38.801586,2.066968
Ahcy,84.997108,26.277563,91.437233,30.833681
Ahcyl1,109.936668,34.988853,160.689926,59.168766
Ahnak,7.625533,0.415799,7.539423,1.215786
Ahr,1.228805,0.063773,2.290051,0.147275
Ahsg,2.784688,0,2.480083,0.084506
AI506816,22.894554,0.682686,42.440659,3.032037
Aif1l,2.25244,0.129153,2.77352,0.316611
Aifm1,30.760366,0.533408,39.559692,3.889726
Aifm3,16.475512,1.098116,23.563234,2.114069
Aig1,10.130654,0.846626,7.791943,0.616531
Ajuba,21.69766,1.022727,38.800858,2.532773
Ak3,18.704132,15.178857,47.42598,20.604597
Akap13,10.089,1.469236,31.346876,4.057659
Akap17b,6.152676,0.220139,16.313917,0.910631
Akap9,12.127764,5.974091,35.141941,7.244981
Akr1a1,319.641479,89.575912,357.984344,124.576653
Akr1b10,12.77794,1.259948,22.202501,2.471021
Akr1b8,193.605118,8.612148,218.181,17.739105
Akr1cl,327.555634,21.122608,707.068787,108.88324
Akt1,63.851482,13.244409,93.084618,19.268629
Alad,101.721123,14.571437,147.885101,22.743694
Alas2,14.800929,1.737122,23.31292,4.44711
Alcam,6.641964,0.176597,11.02156,0.219138
Aldh18a1,10.915873,3.604696,18.710245,5.176321
Aldh1a1,422.898438,23.825298,886.332458,135.725174
Aldh1a3,3.664842,0.272726,6.079922,0.677779
Aldh1a7,28.381304,1.515768,68.204361,8.95265
Aldh1b1,27.481794,0.90943,66.765785,8.108918
Aldh3a1,5.368163,0.606224,10.914403,1.176517
Aldh4a1,12.351322,0.598597,31.90629,4.759847
Aldh7a1,88.840515,5.698234,155.378342,24.401262
Aldoa,372.003696,289.419308,575.913856,326.163719
Aldoc,13.4043,2.736401,28.474154,4.667593
Alg1,99.359291,11.175374,99.287315,13.806802
Alg10b,20.905371,3.74305,29.387247,5.916124
Alg14,9.472055,0.655269,11.736174,1.640062
Alg2,20.64695,6.602139,39.121262,9.847974
Alg5,29.724203,5.843694,29.527555,8.266711
Alkbh2,9.843098,1.49656,12.14389,0.483206
Aloxe3,2.234991,0.400623,4.569701,0.463217
Alpk1,2.522168,0.702329,5.689292,1.118138
Alpl,7.000983,0.910315,5.722039,0.823157
Alyref,112.317429,30.070072,79.692436,32.851307
Amacr,9.289136,1.850282,19.73535,3.501842
Amer1,2.736825,0.158314,8.971997,0.347808
Amh,19.408339,2.941366,28.023149,2.405045
Amhr2,482.904114,22.093353,744.87677,52.895039
Amigo1,1.463207,0.161908,2.996188,0.532217
Amigo2,6.996085,0.255535,13.857257,0.425464
Ammecr1,7.018015,0.515648,14.28521,1.303619
Amot,4.199353,0.379283,14.654067,1.121065
Amotl2,14.548975,0.347131,17.31966,3.42763
Ampd2,30.126328,3.895188,37.339893,6.43892
Amy1,23.792349,9.047039,62.674961,12.988159
Anapc1,60.290833,17.766552,117.41333,31.788584
Anapc2,96.30378,31.536684,112.046776,40.768333
