"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000000384",23.2666938359571,-0.334285650771816,0.40292385569761,-0.829649687018515,0.406736875542982,0.688224973154353,18.8232170223997,23.0880949828738,19.843306278182,25.4695786680979,32.0924259529907,20.2835401111986,"Tbrg4",21379,"11"
"ENSMUSG00000000399",15.6744283112383,-0.261839030598334,0.486156390684013,-0.538590123704702,0.590169703778574,0.813839299909207,18.8232170223997,10.3896427422932,13.8903143947274,10.4874735692168,20.1723820275942,20.2835401111986,"Ndufa9",66108,"6"
"ENSMUSG00000000439",25.1097465706591,0.299631106257006,0.397920193187148,0.75299296539114,0.451454141258746,0.719927453001471,22.0968199828171,36.9409519725981,23.8119675338183,26.967789177986,22.0062349391936,18.8347158175415,"Mkrn2",67027,"6"
"ENSMUSG00000000441",32.7813511623313,0.251296921592115,0.344595405012001,0.729252096624339,0.46584746892276,0.730684529673093,33.5544303442778,33.4777377251671,39.6866125563639,29.9642101977622,33.9262788645902,26.0788372858267,"Raf1",110157,"6"
"ENSMUSG00000000532",22.971629043969,-0.763653403736755,0.410886824333252,-1.85854926104272,0.0630910547508524,0.228095576432482,17.1864155421911,11.5440474914369,21.8276369060001,32.9606312175384,27.507793673992,26.8032494326553,"Acvr1b",11479,"15"
"ENSMUSG00000000538",11.1008533839742,1.09278091206236,0.575034355468391,1.90037499789424,0.0573839255757829,0.214882495490297,13.0944118416694,18.4704759862991,13.8903143947274,5.99284203955244,10.0861910137971,5.07088502779964,"Tom1l2",216810,"11"
"ENSMUSG00000000552",14.9471460995857,0.0237302822937407,0.488992091016092,0.0485289695471982,0.961294677274495,0.984627924155129,14.7312133218781,10.3896427422932,19.843306278182,14.9821050988811,17.421602660195,12.3150064960848,"Zfp385a",29813,"15"
"ENSMUSG00000000561",32.4560125933127,-0.382806263507902,0.366854168351926,-1.04348347799247,0.296724428970769,0.587858397685567,25.3704229432344,19.6248807354428,39.6866125563639,31.4624207076503,43.0955434225875,35.4961951945975,"Wdr77",70465,"3"
"ENSMUSG00000000563",37.4157071790745,-0.255489309911874,0.355827834570849,-0.718013840092107,0.472748753216157,0.73530062083671,41.7384377453212,19.6248807354428,39.6866125563639,47.9427363164195,42.1786169667878,33.3229587541119,"Atp5pb",11950,"3"
"ENSMUSG00000000568",16.4888532428411,0.772876743931917,0.478017656099844,1.61683723199229,0.105913420262362,0.321423978660048,18.8232170223997,16.1616664880117,27.7806287894547,8.98926305932866,15.5877497485955,11.5905943492563,"Hnrnpd",11991,"5"
"ENSMUSG00000000579",25.7466751642858,-0.628595017123931,0.41000044247412,-1.53315692376017,0.125237194969043,0.356335154880697,19.6416177625041,27.7057139794486,12.8981490808183,41.9498942768671,24.7570143065928,27.5276615794838,"Dynlt1c",100040563,"17"
"ENSMUSG00000000594",15.5514904111091,0.489915053752332,0.492798083756881,0.994149672858768,0.320150005378994,0.61098308836894,19.6416177625041,13.8528569897243,20.8354715920911,14.9821050988811,7.33541164639788,16.661479377056,"Gm2a",14667,"11"
"ENSMUSG00000000600",267.143701528569,-0.133695253005887,0.182224120289725,-0.733685819381757,0.463140243094455,0.729112528572115,259.433034613075,263.204282804762,242.08833659382,271.176102289748,285.164127753717,281.796325116294,"Krit1",79264,"5"
"ENSMUSG00000000605",138.508530679708,-0.525974021083692,0.22974858873917,-2.28934603677075,0.0220592548512067,0.113317332957994,101.481691772938,131.602141402381,108.146019216092,155.813893028363,193.471482173744,140.535956484733,"Clcn4",12727,"7"
"ENSMUSG00000000631",20.3324000224124,0.242941196661882,0.420804846334484,0.577325092089782,0.563719866254139,0.797778629230986,24.5520222031301,17.3160712371554,23.8119675338183,20.9749471384335,16.5046762043952,18.8347158175415,"Myo18a",360013,"11"
"ENSMUSG00000000690",19.2062705287705,0.143371643629089,0.467401725372084,0.306741793721354,0.759039915481795,0.900151528344499,15.5496140619824,17.3160712371554,28.7727941033638,8.98926305932866,19.2554555717944,25.3544251389982,"Hoxb6",15414,"11"
"ENSMUSG00000000708",9.43563702329611,1.19430805228771,0.613793139549732,1.945782667372,0.0516808515113573,0.200261264927316,15.5496140619824,13.8528569897243,9.92165313909098,5.99284203955244,5.50155873479841,5.79529717462816,"Kat2b",18519,"17"
"ENSMUSG00000000711",46.6905166848568,-0.582113306131228,0.306347366897324,-1.90017401496495,0.0574102871394462,0.214882495490297,37.6464340447995,42.7129757183166,32.7414553590002,46.4445258065314,56.8494402595835,63.7482689209098,"Rab5b",19344,"10"
"ENSMUSG00000000730",11.2839918545809,0.285187245524694,0.552358966865369,0.51630780458427,0.605639446130021,0.822063339114921,13.0944118416694,13.8528569897243,10.9138184530001,5.99284203955244,10.0861910137971,13.7638307897419,"Dnmt3l",54427,"10"
"ENSMUSG00000000731",9.24527593458969,0.877798116401846,0.628415670794414,1.39684313615568,0.162460747431966,0.419553857190487,13.0944118416694,16.1616664880117,6.94515719736368,5.99284203955244,4.58463227899867,8.69294576194224,"Aire",11634,"10"
